127.0.0.1 - - [03/Apr/2020:16:35:12 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:15 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:55 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:57 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:01 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:37 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:37:06 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:37:28 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:37:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:05 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:09 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:15 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:52:50 +0900] "GET /Ex02/Ex01.html HTTP/1.1" 304 -
